word,location,hits
hygge,United Kingdom,11
hygge,Germany,11
hygge,Ireland,11
hygge,Estonia,9
hygge,Poland,9
hygge,Belgium,9
hygge,Slovakia,9
hygge,Croatia,9
hygge,Sweden,9
hygge,New Zealand,9
hygge,Canada,6
hygge,Portugal,6
hygge,Switzerland,6
hygge,Hong Kong,6
hygge,United States,6
hygge,Singapore,6
hygge,Taiwan,6
hygge,Netherlands,6
hygge,Austria,6
hygge,Hungary,4
hygge,Australia,4
hygge,Lithuania,4
hygge,Slovenia,4
hygge,France,4
hygge,Spain,4
hygge,Greece,4
hygge,Italy,4
hygge,Romania,4
hygge,Argentina,2
hygge,South Africa,2
hygge,Malaysia,2
hygge,Philippines,2
hygge,United Arab Emirates,2
hygge,Russia,2
hygge,South Korea,2
hygge,Ukraine,2
hygge,Japan,2
hygge,Chile,2
hygge,Vietnam,2
hygge,Indonesia,2
hygge,Israel,2
hygge,Thailand,2
hygge,Brazil,2
hygge,Turkey,2
vabba,Sweden,100
vabba,Finland,1
bababa,Philippines,100
bababa,Azerbaijan,30
bababa,Thailand,25
bababa,Taiwan,23
bababa,Indonesia,21
bababa,Paraguay,20
bababa,Portugal,17
bababa,Hong Kong,17
bababa,Brazil,16
bababa,Spain,16
bababa,Morocco,15
bababa,Austria,15
bababa,Malaysia,14
bababa,Turkey,14
bababa,Sweden,14
bababa,Canada,13
bababa,Singapore,12
bababa,Algeria,11
bababa,Italy,11
bababa,Switzerland,11
bababa,France,11
bababa,Australia,10
bababa,Germany,10
bababa,Argentina,10
bababa,Uruguay,10
bababa,Mexico,9
bababa,Romania,9
bababa,Denmark,9
bababa,Ecuador,8
bababa,Venezuela,8
bababa,Nigeria,8
bababa,Chile,8
bababa,United States,7
bababa,Vietnam,7
bababa,Pakistan,7
bababa,Netherlands,7
bababa,Colombia,6
bababa,India,6
bababa,United Kingdom,6
bababa,Belgium,6
bababa,China,6
bababa,Poland,6
bababa,Peru,5
bababa,Japan,5
bababa,Greece,4
bababa,South Korea,3
bababa,Russia,3
bababa,Iran,3
bababa,Ukraine,2
empalagada,United States,100
dor,Brazil,100
dor,Angola,84
dor,Mozambique,76
dor,Portugal,42
dor,Moldova,25
dor,Romania,23
dor,Bangladesh,6
dor,Pakistan,5
dor,Spain,4
dor,France,3
dor,Belgium,3
dor,Ireland,3
dor,United States,3
dor,Canada,3
dor,United Kingdom,3
dor,Switzerland,2
dor,India,2
dor,Australia,2
dor,South Africa,2
dor,Indonesia,1
dor,Netherlands,1
dor,Philippines,1
dor,Germany,1
dor,Poland,1
dor,Argentina,1
dor,Italy,1
dor,Turkey,1
dor,Mexico,1
yugen,South Africa,100
yugen,United Arab Emirates,79
yugen,Philippines,71
yugen,Belgium,67
yugen,Netherlands,56
yugen,Italy,54
yugen,Paraguay,52
yugen,Singapore,45
yugen,Thailand,40
yugen,New Zealand,37
yugen,Australia,33
yugen,Malaysia,32
yugen,United Kingdom,31
yugen,Canada,31
yugen,United States,29
yugen,Chile,27
yugen,Japan,24
yugen,Argentina,21
yugen,Switzerland,20
yugen,Norway,20
yugen,China,19
yugen,Venezuela,19
yugen,Spain,19
yugen,Mexico,18
yugen,Peru,18
yugen,Finland,18
yugen,Sweden,17
yugen,Denmark,17
yugen,Ukraine,17
yugen,Russia,16
yugen,Colombia,16
yugen,Serbia,15
yugen,Czechia,15
yugen,France,15
yugen,Portugal,14
yugen,Hungary,14
yugen,Indonesia,13
yugen,Ireland,13
yugen,Germany,13
yugen,India,12
yugen,South Korea,12
yugen,Vietnam,11
yugen,Poland,10
yugen,Taiwan,9
yugen,Brazil,8
yugen,Iran,6
yugen,Turkey,6
zanshin,Germany,100
zanshin,Spain,46
zanshin,Sweden,38
zanshin,France,35
zanshin,Australia,31
zanshin,Poland,26
zanshin,Netherlands,24
zanshin,Singapore,22
zanshin,Austria,22
zanshin,United Kingdom,20
zanshin,Brazil,19
zanshin,Argentina,18
zanshin,Italy,17
zanshin,Canada,12
zanshin,United States,11
zanshin,India,4
zanshin,Japan,3
zanshin,Turkey,3
warmduscher,Estonia,100
warmduscher,Germany,22
warmduscher,Switzerland,20
warmduscher,Austria,17
warmduscher,United Kingdom,7
warmduscher,Netherlands,2
warmduscher,Ireland,2
warmduscher,France,2
erbsenzähler,Germany,100
erbsenzähler,Austria,65
erbsenzähler,Switzerland,39
exulansis,Singapore,100
exulansis,United States,37
exulansis,Indonesia,35
exulansis,Canada,29
exulansis,United Kingdom,29
exulansis,Turkey,27
exulansis,Mexico,26
exulansis,India,25
exulansis,Philippines,23
exulansis,Spain,22
exulansis,Italy,20
exulansis,Australia,19
kabelsalat,Switzerland,100
kabelsalat,Germany,97
kabelsalat,Austria,84
kabelsalat,United States,1
mahj,Hungary,100
mahj,Romania,91
mahj,Slovakia,66
mahj,Slovenia,66
mahj,Portugal,51
mahj,Austria,50
mahj,Serbia,45
mahj,Croatia,45
mahj,Finland,43
mahj,Lithuania,39
mahj,Germany,38
mahj,Denmark,37
mahj,Spain,35
mahj,Switzerland,35
mahj,Chile,33
mahj,Belgium,29
mahj,Argentina,27
mahj,Canada,27
mahj,Greece,23
mahj,Poland,22
mahj,Italy,21
mahj,New Zealand,21
mahj,France,20
mahj,Bulgaria,20
mahj,Australia,17
mahj,Sweden,17
mahj,Norway,17
mahj,Venezuela,17
mahj,Netherlands,16
mahj,Czechia,14
mahj,Turkey,12
mahj,United States,12
mahj,Colombia,11
mahj,United Kingdom,11
mahj,Peru,8
mahj,Brazil,8
mahj,Mexico,5
mahj,Vietnam,2
mahj,India,1
jijivisha,India,100
jijivisha,United States,6
maktub,Uzbekistan,100
maktub,Brazil,58
maktub,Côte d’Ivoire,56
maktub,Uruguay,20
maktub,Paraguay,18
maktub,Argentina,17
maktub,Spain,17
maktub,Panama,14
maktub,Honduras,13
maktub,Portugal,12
maktub,Costa Rica,11
maktub,El Salvador,11
maktub,Chile,11
maktub,Azerbaijan,10
maktub,Bolivia,10
maktub,Mexico,9
maktub,Venezuela,9
maktub,Dominican Republic,8
maktub,Ecuador,7
maktub,Peru,7
maktub,Tunisia,7
maktub,Guatemala,6
maktub,Romania,6
maktub,Algeria,5
maktub,Morocco,5
maktub,Colombia,5
maktub,Serbia,4
maktub,Indonesia,3
maktub,South Africa,2
maktub,Philippines,2
maktub,Pakistan,2
maktub,Switzerland,2
maktub,Singapore,2
maktub,India,2
maktub,Netherlands,2
maktub,Italy,2
maktub,United Arab Emirates,2
maktub,Austria,2
maktub,Hungary,2
maktub,Belgium,2
maktub,United States,2
maktub,Canada,1
maktub,Russia,1
maktub,Germany,1
maktub,Taiwan,1
maktub,Malaysia,1
maktub,South Korea,1
maktub,Iran,1
maktub,United Kingdom,1
maktub,Saudi Arabia,1
maktub,France,1
maktub,Sweden,1
maktub,Australia,1
maktub,Vietnam,1
wú,China,100
wú,Malaysia,98
wú,Russia,13
wú,United States,11
capicua,Portugal,100
capicua,Peru,29
capicua,Argentina,29
capicua,Paraguay,28
capicua,Uruguay,27
capicua,Spain,24
capicua,Dominican Republic,21
capicua,Venezuela,17
capicua,Angola,17
capicua,Colombia,16
capicua,Bolivia,16
capicua,Mexico,14
capicua,Chile,14
capicua,Guatemala,13
capicua,Honduras,10
capicua,Costa Rica,10
capicua,El Salvador,9
capicua,Ecuador,8
capicua,Panama,7
capicua,Brazil,6
livsnjutare,Sweden,100
livsnjutare,Philippines,5
livsnjutare,Finland,4
livsnjutare,India,3
livsnjutare,Spain,1
livsnjutare,United States,1
umay,Turkey,100
umay,Thailand,76
umay,Indonesia,53
umay,Philippines,24
umay,Cyprus,23
umay,Azerbaijan,10
umay,Pakistan,3
umay,Malaysia,2
umay,United Arab Emirates,2
umay,Singapore,2
umay,Bulgaria,2
umay,Switzerland,1
umay,Germany,1
umay,Austria,1
umay,Netherlands,1
umay,Chile,1
umay,Belgium,1
umay,Canada,1
umay,United Kingdom,1
umay,Australia,1
umay,India,1
morriña,Spain,100
morriña,Costa Rica,36
morriña,Argentina,25
morriña,Uruguay,17
morriña,Chile,14
morriña,Peru,13
morriña,Ecuador,12
morriña,Colombia,12
